DATA_INIZIO_AMMINISTRATIVA,DATA_FINE_AMMINISTRATIVA,COD_CATASTO,PRO_COM,PRO_COM_T,COMUNE,COMUNE_IT,COMUNE_A,COD_DEN_STORICO,COD_UTS,ID_UTS_TIPO,DESC_UTS_TIPO,COD_REG,SIGLA_UTS,COD_RIP
16-10-1920,14-02-1923,I378,802436,802436,San Valentino al Brennero/Brenner,SAN VALENTINO AL BRENNERO,BRENNER,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,I378,22626,022626,San Valentino al Brennero/Brenner,SAN VALENTINO AL BRENNERO,BRENNER,,022,1,Provincia,00,TN,2
12-01-1927,14-02-1929,I378,21890,021890,San Valentino al Brennero/Brenner,SAN VALENTINO AL BRENNERO,BRENNER,,021,1,Provincia,00,BZ,2
14-02-1929,14-02-1929,I378,21890,021890,San Valentino al Brennero/Brenner,SAN VALENTINO AL BRENNERO,BRENNER,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,I379,802437,802437,San Valentino alla Muta/St. Valentin auf der Haide,SAN VALENTINO ALLA MUTA,ST. VALENTIN AUF DER HAIDE,021563,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,I379,22627,022627,San Valentino alla Muta/St. Valentin auf der Haide,SAN VALENTINO ALLA MUTA,ST. VALENTIN AUF DER HAIDE,021563,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,I379,22627,022627,San Valentino alla Mutta/St. Valentin auf der Haide,SAN VALENTINO ALLA MUTTA,ST. VALENTIN AUF DER HAIDE,,022,1,Provincia,00,TN,2
12-01-1927,15-06-1928,I379,21879,021879,San Valentino alla Mutta/St. Valentin auf der Haide,SAN VALENTINO ALLA MUTTA,ST. VALENTIN AUF DER HAIDE,,021,1,Provincia,00,BZ,2
12-01-1927,07-03-1928,C737,21833,021833,Issengo/Issing,ISSENGO,ISSING,,021,1,Provincia,00,BZ,2
07-03-1928,07-03-1928,C737,21833,021833,Issengo/Issing,ISSENGO,ISSING,,021,1,Provincia,00,BZ,2
